Order,Name,Genre,Size,Time,Date Modified,Date,Time,Diff,Diff #,Diff Sum,Language,# of Words,Curse,Comments
84,Home 11,Voice Memo,19020,2,2/13/2019 14:04,02/13/19,14:04,1:04,0.044444444,5.085416667,TR,1,,
85,Columbia University Department of Computer Science 25,Voice Memo,17410,2,2/13/2019 13:00,02/13/19,13:00,5:30,0.229166667,5.040972222,EN,1,,
86,Home 10,Voice Memo,25725,3,2/13/2019 7:30,02/13/19,7:30,0:01,0.000694444,4.811805556,TR,2,,
87,Home 9,Voice Memo,19032,2,2/13/2019 7:29,02/13/19,7:29,8:22,0.348611111,4.811111111,EN,1,,
88,Home 8,Voice Memo,41301,4,2/12/2019 23:07,02/12/19,23:07,3:28,0.144444444,4.4625,TR,3,,
89,Home 7,Voice Memo,43793,5,2/12/2019 19:39,02/12/19,19:39,12:23,0.515972222,4.318055556,EN,4,,
90,Home 6,Voice Memo,54730,6,2/12/2019 7:16,02/12/19,7:16,0:01,0.000694444,3.802083333,EN,4,,
91,Home 5,Voice Memo,75208,9,2/12/2019 7:15,02/12/19,7:15,0:08,0.005555556,3.801388889,EN,3,,
92,Westside Market,Voice Memo,58606,7,2/12/2019 7:07,02/12/19,7:07,0:02,0.001388889,3.795833333,EN,1,,
93,Tom's Restaurant,Voice Memo,82036,10,2/12/2019 7:05,02/12/19,7:05,0:06,0.004166667,3.794444444,TR,8,,
94,Columbia University Department of Computer Science 24,Voice Memo,33812,4,2/12/2019 6:59,02/12/19,6:59,0:11,0.007638889,3.790277778,TR,3,,
95,Columbia University Department of Computer Science 23,Voice Memo,19575,2,2/12/2019 6:48,02/12/19,6:48,0:01,0.000694444,3.782638889,TR,1,,
96,Columbia University Department of Computer Science 22,Voice Memo,12739,1,2/12/2019 6:47,02/12/19,6:47,9:06,0.379166667,3.781944444,TR,1,,
97,Columbia University Department of Computer Science 21,Voice Memo,17220,2,2/11/2019 21:41,02/11/19,21:41,0:57,0.039583333,3.402777778,EN,1,,
98,Columbia University Department of Computer Science 20,Voice Memo,21652,2,2/11/2019 20:44,02/11/19,20:44,4:02,0.168055556,3.363194444,EN,2,,
99,110 Grand St,Voice Memo,37328,4,2/11/2019 16:42,02/11/19,16:42,4:17,0.178472222,3.195138889,EN,2,,
100,223 Main St,Voice Memo,22939,2,2/11/2019 12:25,02/11/19,12:25,1:47,0.074305556,3.016666667,EN,1,,
101,New Recording,Voice Memo,18611,2,2/11/2019 10:38,02/11/19,10:38,1:55,0.079861111,2.942361111,EN,1,,
102,Alfred Lerner Hall 3,Voice Memo,17409,2,2/11/2019 8:43,02/11/19,8:43,0:09,0.00625,2.8625,EN,1,,
103,Alfred Lerner Hall 2,Voice Memo,15792,1,2/11/2019 8:34,02/11/19,8:34,0:01,0.000694444,2.85625,EN,1,,
104,Alfred Lerner Hall,Voice Memo,14025,1,2/11/2019 8:33,02/11/19,8:33,10:10,0.423611111,2.855555556,EN,1,,
105,Columbia University Department of Computer Science 19,Voice Memo,16539,1,2/10/2019 22:23,02/10/19,22:23,17:48,0.741666667,2.431944444,EN,1,,
106,Home 4,Voice Memo,80799,9,2/10/2019 4:35,02/10/19,4:35,0:22,0.015277778,1.690277778,EN,12,,
107,Columbia University Department of Computer Science 17,Voice Memo,18926,2,2/10/2019 4:13,02/10/19,4:13,0:00,0,1.675,EN,2,,
108,Columbia University Department of Computer Science 18,Voice Memo,22058,2,2/10/2019 4:13,02/10/19,4:13,4:27,0.185416667,1.675,TR,1,,
109,Columbia University Department of Computer Science 16,Voice Memo,18196,2,2/9/2019 23:46,02/09/19,23:46,9:15,0.385416667,1.489583333,EN,1,,
110,Columbia University Department of Computer Science 15,Voice Memo,19158,2,2/9/2019 14:31,02/09/19,14:31,4:57,0.20625,1.104166667,EN,1,,
111,Home 3,Voice Memo,23445,2,2/9/2019 9:34,02/09/19,9:34,0:38,0.026388889,0.897916667,EN,1,,
112,Home 2,Voice Memo,47318,5,2/9/2019 8:56,02/09/19,8:56,10:48,0.45,0.871527778,TR,5,,
113,Home,Voice Memo,26903,3,2/8/2019 22:08,02/08/19,22:08,0:19,0.013194444,0.421527778,EN,2,,
114,Suite 8,Voice Memo,18458,2,2/8/2019 21:49,02/08/19,21:49,0:14,0.009722222,0.408333333,EN,1,,
115,Suite 7,Voice Memo,18279,2,2/8/2019 21:35,02/08/19,21:35,0:02,0.001388889,0.398611111,EN,1,,
116,Suite 6,Voice Memo,17020,2,2/8/2019 21:33,02/08/19,21:33,0:32,0.022222222,0.397222222,EN,1,,
117,Suite 5,Voice Memo,18481,2,2/8/2019 21:01,02/08/19,21:01,0:03,0.002083333,0.375,EN,1,,
118,Suite 4,Voice Memo,17307,2,2/8/2019 20:58,02/08/19,20:58,0:01,0.000694444,0.372916667,EN,1,,
119,Suite 3,Voice Memo,19486,2,2/8/2019 20:57,02/08/19,20:57,0:02,0.001388889,0.372222222,EN,1,,
120,Suite 2,Voice Memo,23516,2,2/8/2019 20:55,02/08/19,20:55,0:01,0.000694444,0.370833333,EN,1,,
121,Suite,Voice Memo,19256,2,2/8/2019 20:54,02/08/19,20:54,1:03,0.04375,0.370138889,EN,1,,
122,Columbia University Department of Computer Science 14,Voice Memo,24550,2,2/8/2019 19:51,02/08/19,19:51,0:28,0.019444444,0.326388889,EN,1,,
123,Columbia University Department of Computer Science 13,Voice Memo,22913,2,2/8/2019 19:23,02/08/19,19:23,0:01,0.000694444,0.306944444,EN,1,,
124,Columbia University Department of Computer Science 12,Voice Memo,18358,2,2/8/2019 19:22,02/08/19,19:22,0:12,0.008333333,0.30625,EN,1,,
125,Columbia University Department of Computer Science 11,Voice Memo,16987,1,2/8/2019 19:10,02/08/19,19:10,0:06,0.004166667,0.297916667,EN,1,,
126,Columbia University Department of Computer Science 10,Voice Memo,11994,1,2/8/2019 19:04,02/08/19,19:04,2:08,0.088888889,0.29375,EN,1,,
127,Columbia University Department of Computer Science 9,Voice Memo,26827,3,2/8/2019 16:56,02/08/19,16:56,0:16,0.011111111,0.204861111,EN,1,,
128,Columbia University Department of Computer Science 8,Voice Memo,24299,2,2/8/2019 16:40,02/08/19,16:40,0:02,0.001388889,0.19375,EN,1,,
129,Columbia University Department of Computer Science 7,Voice Memo,22855,2,2/8/2019 16:38,02/08/19,16:38,0:43,0.029861111,0.192361111,EN,1,,
130,Columbia University Department of Computer Science 6,Voice Memo,18711,2,2/8/2019 15:55,02/08/19,15:55,0:34,0.023611111,0.1625,EN,1,,
131,Columbia University Department of Computer Science 5,Voice Memo,27983,3,2/8/2019 15:21,02/08/19,15:21,1:14,0.051388889,0.138888889,TR,2,,
132,Columbia University Department of Computer Science 4,Voice Memo,20718,2,2/8/2019 14:07,02/08/19,14:07,0:28,0.019444444,0.0875,EN,1,,
133,Columbia University Department of Computer Science 3,Voice Memo,19201,2,2/8/2019 13:39,02/08/19,13:39,1:32,0.063888889,0.068055556,EN,1,,
134,Columbia University Department of Computer Science 2,Voice Memo,22725,2,2/8/2019 12:07,02/08/19,12:07,0:06,0.004166667,0.004166667,EN,1,,
135,Columbia University Department of Computer Science,Voice Memo,26035,3,2/8/2019 12:01,02/08/19,12:01,0:00,0,0,EN,1,,
,,,,,,,12:01,,,,,,,
